08:06:37.079 [main] INFO  com.browserstack.LocalFactory - BrowserStack Local Started Successfully.
08:06:43.699 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/xgxjjkx7tmrvxmderd4izlws4ktv4drbfucf3nip to view build report, insights, and many more debugging information all at one place!

08:06:43.699 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
08:08:15.059 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 4.26.0
08:08:15.062 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 
08:08:15.266 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=C\:\\Users\\harishkannan.sukumar\\IdeaProjects\\ContinousIntegration, idea.version=2024.1.4, user.dir=C\:\\Users\\harishkannan.sukumar\\IdeaProjects\\ContinousIntegration, localrepository=C\:\\Users\\harishkannan.sukumar\\.m2\\repository}
08:08:15.268 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : C:\Users\harishkannan.sukumar\IdeaProjects\ContinousIntegration\browserstack.yml
08:08:15.327 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
08:08:15.334 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
08:08:15.639 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
08:08:20.794 [main] INFO  c.browserstack.BrowserStackJavaAgent - Project and debug logs are captured by default. To disable, set disableAutoCaptureLogs: true in config.
08:08:24.575 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
08:08:32.141 [main] INFO  com.browserstack.LocalFactory - BrowserStack Local Started Successfully.
08:10:20.658 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/tlteqykzyaosvkfwjviw3b35opshka1f1e17hmwb to view build report, insights, and many more debugging information all at one place!

08:10:20.659 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
08:10:27.354 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://automate.browserstack.com/dashboard/v2/builds/2d235dfa8896c8370593abaf4e94d064e36d1973
08:10:27.355 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
08:21:48.813 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 4.26.0
